@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute handpos-1 {0,1,2,3,4,5}

@data
4148,'2017/02/21 02:16:33:205',8,-167.50737,2.678665,3
4149,'2017/02/21 02:16:33:223',8,-167.554565,3.22467,3
4150,'2017/02/21 02:16:33:239',8,-167.698151,3.416092,3
4151,'2017/02/21 02:16:33:256',8,-167.72821,3.4048,3
4152,'2017/02/21 02:16:33:272',8,-165.118774,4.965698,3
4153,'2017/02/21 02:16:33:288',8,-163.307251,6.625992,3
4154,'2017/02/21 02:16:33:305',8,-163.879547,6.297073,3
4155,'2017/02/21 02:16:33:321',8,-166.278534,8.119156,3
4156,'2017/02/21 02:16:33:338',8,-166.517105,7.493286,3
4157,'2017/02/21 02:16:33:355',8,-166.485687,6.82074,3
4158,'2017/02/21 02:16:33:372',8,-166.099197,6.988586,3
4159,'2017/02/21 02:16:33:389',8,-165.814255,7.085831,3
4160,'2017/02/21 02:16:33:405',8,-164.811707,5.258041,3
4161,'2017/02/21 02:16:33:422',8,-164.033081,5.908096,3
4162,'2017/02/21 02:16:33:438',8,-164.145844,6.495834,3
4163,'2017/02/21 02:16:33:456',8,-163.799759,5.282898,3
4164,'2017/02/21 02:16:33:471',8,-162.645523,4.100815,3
4165,'2017/02/21 02:16:33:488',8,-162.537674,3.641708,3
4166,'2017/02/21 02:16:33:504',8,-163.451202,3.897675,3
4167,'2017/02/21 02:16:33:521',8,-163.930359,2.577896,3
4168,'2017/02/21 02:16:33:538',8,-164.785706,2.19603,3
4169,'2017/02/21 02:16:33:559',8,-164.852478,3.448059,3
4170,'2017/02/21 02:16:33:572',8,-164.822571,3.135223,3
4171,'2017/02/21 02:16:33:588',8,-164.238068,3.238892,3
4172,'2017/02/21 02:16:33:605',8,-162.497253,2.439957,3
4173,'2017/02/21 02:16:33:622',8,-163.873779,4.179459,3
4174,'2017/02/21 02:16:33:638',8,-164.63765,4.712372,3
4175,'2017/02/21 02:16:33:655',8,-165.655853,6.47039,3
4176,'2017/02/21 02:16:33:672',8,-167.100525,6.424408,3
4177,'2017/02/21 02:16:33:687',8,-167.966949,5.778389,3
4178,'2017/02/21 02:16:33:704',8,-168.531158,5.392464,3
4179,'2017/02/21 02:16:33:720',8,-168.387253,6.585579,3
4180,'2017/02/21 02:16:33:737',8,-168.564667,6.997467,3
4181,'2017/02/21 02:16:33:754',8,-168.902435,7.113579,3
4182,'2017/02/21 02:16:33:771',8,-168.957687,6.74382,3
4183,'2017/02/21 02:16:33:788',8,-168.893402,7.055122,3
4184,'2017/02/21 02:16:33:804',8,-169.333939,6.666649,3
4185,'2017/02/21 02:16:33:822',8,-169.947113,7.332596,3
4186,'2017/02/21 02:16:33:838',8,-170.390472,8.354301,3
4187,'2017/02/21 02:16:33:855',8,-170.759186,9.261024,3
4188,'2017/02/21 02:16:33:872',8,-170.851105,10.033966,3
4189,'2017/02/21 02:16:33:888',8,-170.881531,10.371109,3
4190,'2017/02/21 02:16:33:904',8,-170.134628,9.353073,3
4191,'2017/02/21 02:16:33:921',8,-169.52742,9.505341,3
4192,'2017/02/21 02:16:33:937',8,-169.674759,10.286736,3
4193,'2017/02/21 02:16:33:954',8,-169.79361,10.570709,3
4231,'2017/02/21 02:16:34:585',8,-169.759964,-4.023407,3
4232,'2017/02/21 02:16:34:602',8,-168.845215,-5.499237,3
4233,'2017/02/21 02:16:34:622',8,-168.281708,-6.593224,3
4234,'2017/02/21 02:16:34:640',8,-169.344727,-6.066109,3
4235,'2017/02/21 02:16:34:652',8,-168.461929,-6.113747,3
4236,'2017/02/21 02:16:34:669',8,-169.487076,-5.872971,3
4237,'2017/02/21 02:16:34:685',8,-167.404083,-5.758026,3
4238,'2017/02/21 02:16:34:701',8,-167.322632,-5.705894,3
4239,'2017/02/21 02:16:34:718',8,-168.424454,-4.025024,3
